Feature,Average Difference
elapsed_time,0.06892184761383237
set_no,0.06911484924109117
game_no,0.06990112334335064
point_no,0.06864406766275978
serve_no,0.06948149403120539
set_victor,0.06898240342913113
p1_ace,0.07354360802170962
p2_ace,0.0829686420010707
p1_double_fault,0.06879118717985798
p2_double_fault,0.0700711873169292
p1_unf_err,0.10975727282177095
p2_unf_err,0.1230269490611306
p1_net_pt,0.07010800647452607
p2_net_pt,0.0753949708672854
p1_net_pt_won,0.08004749650992345
p2_net_pt_won,0.09609019812804481
p1_break_pt,0.07036030059707978
p2_break_pt,0.06999623170813397
p1_break_pt_won,0.07061743674363156
p2_break_pt_won,0.06924600200810489
p1_break_pt_missed,0.0734372245496034
p2_break_pt_missed,0.07165353522257388
p1_distance_run,0.0694408854021959
p2_distance_run,0.06981972202282809
rally_count,0.06890007280675524
speed_mph,0.07179878737766417
game_victor_0,0.07047921993413206
game_victor_1,0.08669913387484297
game_victor_2,0.08323250962338392
winner_shot_type_0,0.07402467649175788
winner_shot_type_B,0.07240238250274687
winner_shot_type_F,0.0764569639518459
serve_width_B,0.06989019639259453
serve_width_BC,0.0698131573958549
serve_width_BW,0.07408586934606824
serve_width_C,0.07312837773906371
serve_width_W,0.07511321547653979
serve_depth_CTL,0.07156451170827409
serve_depth_NCTL,0.0738175591780011
return_depth_D,0.07473756728876238
return_depth_ND,0.07336977913489329
